#  q,  S(q) neutrons
  12.1370620667        0.9780528814
  12.1861572497        0.9849952090
  12.2352524326        0.9930573314
  12.2843476156        1.0016474688
  12.3334427985        1.0101952736
  12.3825379815        1.0182049060
  12.4316331644        1.0252889198
  12.4807283474        1.0311803579
  12.5298235303        1.0357245444
  12.5789187133        1.0388556912
  12.6280138962        1.0405659280
  12.6771090792        1.0408752633
  12.7262042621        1.0398101103
  12.7752994451        1.0373955514
  12.8243946280        1.0336629516
  12.8734898110        1.0286705920
  12.9225849939        1.0225314995
  12.9716801769        1.0154403526
  13.0207753598        1.0076907896
  13.0698705428        0.9996758282
  13.1189657257        0.9918672383
  13.1680609087        0.9847740206
  13.2171560916        0.9788847959
  13.2662512746        0.9746029421
  13.3153464575        0.9721858452
  13.3644416405        0.9717000388
  13.4135368234        0.9730020538
  13.4626320064        0.9757507533
  13.5117271893        0.9794514473
  13.5608223723        0.9835261870
  13.6099175552        0.9873994765
  13.6590127382        0.9905852451
  13.7081079211        0.9927600655
  13.7572031041        0.9938095420
  13.8062982871        0.9938392714
  13.8553934700        0.9931480256
  13.9044886530        0.9921676543
  13.9535838359        0.9913803715
  14.0026790189        0.9912283500
  14.0517742018        0.9920320477
  14.1008693848        0.9939320918
  14.1499645677        0.9968651088
  14.1990597507        1.0005774573
  14.2481549336        1.0046736112
  14.2972501166        1.0086893843
  14.3463452995        1.0121755567
  14.3954404825        1.0147756877
  14.4445356654        1.0162833291
  14.4936308484        1.0166681992
  14.5427260313        1.0160672625
  14.5918212143        1.0147437895
  14.6409163972        1.0130238983
  14.6900115802        1.0112244871
  14.7391067631        1.0095879689
  14.7882019461        1.0082375001
  14.8372971290        1.0071618315
  14.8863923120        1.0062324383
  14.9354874949        1.0052485783
  14.9845826779        1.0039998400
  15.0336778608        1.0023318657
  15.0827730438        1.0002001075
  15.1318682267        0.9976988794
  15.1809634097        0.9950581460
  15.2300585926        0.9926073643
  15.2791537756        0.9907128452
  15.3282489585        0.9897010349
  15.3773441415        0.9897835592
  15.4264393245        0.9910000864
  15.4755345074        0.9931919426
  15.5246296904        0.9960135549
  15.5737248733        0.9989813695
  15.6228200563        1.0015523771
  15.6719152392        1.0032183051
  15.7210104222        1.0035981371
  15.7701056051        1.0025115847
  15.8192007881        1.0000194908
  15.8682959710        0.9964232223
  15.9173911540        0.9922227065
  15.9664863369        0.9880403877
  16.0155815199        0.9845245408
  16.0646767028        0.9822489121
  16.1137718858        0.9816259242
  16.1628670687        0.9828477311
  16.2119622517        0.9858638970
  16.2610574346        0.9903975670
  16.3101526176        0.9959950874
  16.3592478005        1.0020984596
  16.4083429835        1.0081267928
  16.4574381664        1.0135525358
  16.5065333494        1.0179606217
  16.5556285323        1.0210830662
  16.6047237153        1.0228069890
  16.6538188982        1.0231592573
  16.7029140812        1.0222749210
