# Faber-Ziman Sij(q)             [Ge,Ge]                   
       10.1711423517           0.9930607896   
       10.2202445293           0.9952005369   
       10.2693467070           0.9986831973   
       10.3184488846           1.0029258461   
       10.3675510623           1.0072126418   
       10.4166532399           1.0108077928   
       10.4657554176           1.0130769798   
       10.5148575952           1.0135957209   
       10.5639597728           1.0122244539   
       10.6130619505           1.0091354228   
       10.6621641281           1.0047849408   
       10.7112663058           0.9998347185   
       10.7603684834           0.9950357406   
       10.8094706611           0.9910956575   
       10.8585728387           0.9885542625   
       10.9076750163           0.9876904872   
       10.9567771940           0.9884785857   
       11.0058793716           0.9906018211   
       11.0549815493           0.9935208439   
       11.1040837269           0.9965832578   
       11.1531859046           0.9991527792   
       11.2022880822           1.0007325735   
       11.2513902599           1.0010586027   
       11.3004924375           1.0001449281   
       11.3495946151           0.9982726467   
       11.3986967928           0.9959255215   
       11.4477989704           0.9936860670   
       11.4969011481           0.9921136720   
       11.5460033257           0.9916296875   
       11.5951055034           0.9924326119   
       11.6442076810           0.9944599759   
       11.6933098586           0.9974036671   
       11.7424120363           1.0007743213   
       11.7915142139           1.0040003902   
       11.8406163916           1.0065406633   
       11.8897185692           1.0079867686   
       11.9388207469           1.0081349270   
       11.9879229245           1.0070133155   
       12.0370251021           1.0048612408   
       12.0861272798           1.0020667560   
       12.1352294574           0.9990781188   
       12.1843316351           0.9963096918   
       12.2334338127           0.9940634298   
       12.2825359904           0.9924829277   
       12.3316381680           0.9915490777   
       12.3807403457           0.9911165110   
       12.4298425233           0.9909804033   
       12.4789447009           0.9909560662   
       12.5280468786           0.9909506650   
       12.5771490562           0.9910081151   
       12.6262512339           0.9913143818   
       12.6753534115           0.9921596946   
       12.7244555892           0.9938645422   
       12.7735577668           0.9966854038   
       12.8226599444           1.0007219267   
       12.8717621221           1.0058482795   
       12.9208642997           1.0116873402   
       12.9699664774           1.0176379414   
       13.0190686550           1.0229543128   
       13.0681708327           1.0268654452   
       13.1172730103           1.0287128032   
       13.1663751879           1.0280796866   
       13.2154773656           1.0248857933   
       13.2645795432           1.0194262756   
       13.3136817209           1.0123447571   
       13.3627838985           1.0045424079   
       13.4118860762           0.9970377265   
       13.4609882538           0.9908016115   
       13.5100904314           0.9865975683   
       13.5591926091           0.9848563956   
       13.6082947867           0.9856084657   
       13.6573969644           0.9884859714   
       13.7064991420           0.9927943748   
       13.7556013197           0.9976393402   
       13.8047034973           1.0020852299   
       13.8538056750           1.0053157369   
       13.9029078526           1.0067674698   
       13.9520100302           1.0062131303   
       14.0011122079           1.0037811050   
       14.0502143855           0.9999107238   
       14.0993165632           0.9952546292   
       14.1484187408           0.9905492570   
       14.1975209185           0.9864795402   
