#  q,  S(q) X-rays
  19.9485740311        1.0090307825
  19.9976170017        1.0048261571
  20.0466599723        1.0016714693
  20.0957029429        0.9999185073
  20.1447459134        0.9996616152
  20.1937888840        1.0007270250
  20.2428318546        1.0027070039
  20.2918748251        1.0050332536
  20.3409177957        1.0070772791
  20.3899607663        1.0082607671
  20.4390037369        1.0081572277
  20.4880467074        1.0065675852
  20.5370896780        1.0035568299
  20.5861326486        0.9994455068
  20.6351756191        0.9947575581
  20.6842185897        0.9901335105
  20.7332615603        0.9862238972
  20.7823045309        0.9835811084
  20.8313475014        0.9825680025
  20.8803904720        0.9832985852
  20.9294334426        0.9856204253
  20.9784764131        0.9891412428
  21.0275193837        0.9932945496
  21.0765623543        0.9974326823
  21.1256053249        1.0009311530
  21.1746482954        1.0032867027
  21.2236912660        1.0041929671
  21.2727342366        1.0035819290
  21.3217772071        1.0016255080
  21.3708201777        0.9986985940
  21.4198631483        0.9953113103
  21.4689061189        0.9920231791
  21.5179490894        0.9893543349
  21.5669920600        0.9877086606
  21.6160350306        0.9873208481
  21.6650780011        0.9882345553
  21.7141209717        0.9903129858
  21.7631639423        0.9932774727
  21.8122069129        0.9967650437
  21.8612498834        1.0003932591
  21.9102928540        1.0038202501
  21.9593358246        1.0067897783
  22.0083787951        1.0091548036
  22.0574217657        1.0108776945
  22.1064647363        1.0120098870
  22.1555077069        1.0126575923
  22.2045506774        1.0129423717
  22.2535936480        1.0129656761
  22.3026366186        1.0127848508
  22.3516795891        1.0124050284
  22.4007225597        1.0117875009
  22.4497655303        1.0108713811
  22.4988085009        1.0096024429
  22.5478514714        1.0079615503
  22.5968944420        1.0059853213
  22.6459374126        1.0037735426
  22.6949803831        1.0014809198
  22.7440233537        0.9992943508
  22.7930663243        0.9974002603
  22.8421092949        0.9959489273
  22.8911522654        0.9950236415
  22.9401952360        0.9946217550
  22.9892382066        0.9946523796
  23.0382811771        0.9949521021
  23.0873241477        0.9953163231
  23.1363671183        0.9955404614
  23.1854100889        0.9954629981
  23.2344530594        0.9950016517
  23.2834960300        0.9941750486
  23.3325390006        0.9931048998
  23.3815819711        0.9919974175
  23.4306249417        0.9911067766
  23.4796679123        0.9906870504
  23.5287108829        0.9909415080
  23.5777538534        0.9919789358
  23.6267968240        0.9937855806
  23.6758397946        0.9962185632
  23.7248827651        0.9990226992
  23.7739257357        1.0018683131
  23.8229687063        1.0044036735
  23.8720116769        1.0063128593
  23.9210546474        1.0073687306
  23.9700976180        1.0074714567
  24.0191405886        1.0066655895
  24.0681835591        1.0051325181
  24.1172265297        1.0031595651
  24.1662695003        1.0010911806
  24.2153124709        0.9992708713
  24.2643554414        0.9979841046
  24.3133984120        0.9974121498
  24.3624413826        0.9976047551
  24.4114843531        0.9984760878
  24.4605273237        0.9998241585
  24.5095702943        1.0013697792
  24.5586132649        1.0028077296
  24.6076562354        1.0038608325
  24.6566992060        1.0043273803
  24.7057421766        1.0041138257
  24.7547851471        1.0032475313
  24.8038281177        1.0018680883
  24.8528710883        1.0001995804
  24.9019140589        0.9985094518
  24.9509570294        0.9970617776
